score,key,from_version,to_version,similarity,edge_lost,edge_gained,euphemism_hits,old_preview,new_preview
23.39,Shubin_Industrial_ShipMining_Stanton_H_PrimarySecondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.3952,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, all the <EM4>materials must be refined before delivery</EM4>, and since this is a purchase order and not a mining contract, you are expected","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
23.39,Shubin_Industrial_ShipMining_Stanton_H_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.3952,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, all the <EM4>materials must be refined before delivery</EM4>, and since this is a purchase order and not a mining contract, you are expected","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.54,Shubin_Industrial_HandMining_Stanton_S_Solar_Desc_002,4.6.0-LIVE,4.6.0-PTU,0.4165,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) There have been reported kopion sightings within the area, so caution is advised. |  | Reminder, since this is a purchase order and not a mining contract, you are e","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
22.41,Shubin_Industrial_GroundVehicle_Pyro_E_DiscoverPlanetary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4198,,,,Small Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Small Scale
22.41,Shubin_Industrial_GroundVehicle_Pyro_M_PlanetarySystem_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4198,,,,Med. Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Medium Scale
22.41,Shubin_Industrial_GroundVehicle_Stanton_E_DiscoverPlanetary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4198,,,,Small Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Small Scale
22.3,Shubin_Industrial_HandMining_Pyro_Nyx_VH_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4225,,,,XL Purchase Order: Hand Mined Materials,Hand Mining Request: Major Scale
22.3,Shubin_Industrial_HandMining_Pyro_VH_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4225,,,,XL Purchase Order: Hand Mined Materials,Hand Mining Request: Major Scale
22.3,Shubin_Industrial_HandMining_Stanton_VH_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4225,,,,XL Purchase Order: Hand Mined Materials,Hand Mining Request: Major Scale
22.2,Shubin_Industrial_GroundVehicle_Stanton_H_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.425,,,,Med. Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Large Scale
22.02,Shubin_Industrial_ShipMining_Nyx_S_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.02,Shubin_Industrial_ShipMining_Nyx_VH_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.02,Shubin_Industrial_ShipMining_Pyro_S_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.02,Shubin_Industrial_ShipMining_Pyro_VH_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.02,Shubin_Industrial_ShipMining_Stanton_H_Secondary_Interstellar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.02,Shubin_Industrial_ShipMining_Stanton_S_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.02,Shubin_Industrial_ShipMining_Stanton_VH_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
22.02,Shubin_Industrial_ShipMining_Stanton_VH_Secondary_Interstellar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4296,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) Many of these ores are extremely rare and difficult to find, detectable only when a rock has been cracked open. |  | Reminder, all the <EM4>materials must b","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
21.87,Shubin_Industrial_HandMining_Stanton_E_Local_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4332,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be a wise ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar contractors"
21.8,Shubin_Industrial_ShipMining_Nyx_VH_Interstellar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4351,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) |  | Reminder, all the <EM4>materials must be refined before delivery</EM4>, and since this is a purchase order and not a mining contract, you are expected ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
21.8,Shubin_Industrial_ShipMining_Stanton_VH_Interstellar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4351,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) |  | Reminder, all the <EM4>materials must be refined before delivery</EM4>, and since this is a purchase order and not a mining contract, you are expected ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
21.64,Shubin_Industrial_GroundVehicle_Stanton_M_PlanetarySystem_Title_001,4.6.0-LIVE,4.6.0-PTU,0.439,,,,Small Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Medium Scale
21.38,Shubin_Industrial_HandMining_Pyro_E_Local_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4455,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be a wise ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar contractors"
21.37,Shubin_Industrial_HandMining_Nyx_S_Interstellar_Desc_002,4.6.0-LIVE,4.6.0-PTU,0.4458,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location) There have been reported kopion sightings within the area, so caution is advised. |  | Reminder, since this is a purchase order and not a mining contract, you are e","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
20.74,Shubin_Industrial_GroundVehicle_Nyx_VH_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4615,,,,XL Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Major Scale
20.74,Shubin_Industrial_GroundVehicle_Pyro_VH_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4615,,,,XL Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Major Scale
20.74,Shubin_Industrial_GroundVehicle_Stanton_VH_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.4615,,,,XL Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Major Scale
20.31,Shubin_Industrial_HandMining_Pyro_S_Solar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4723,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, since this is a purchase order and not a mining contract, you are expected to provide your own equipment, such as a <EM4>~mission(Hint_Tool)</EM4>. | ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
20.2,Shubin_Industrial_GroundVehicle_Pyro_H_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.475,,,,Lrg. Purchase Order: Vehicle Mined Ore,Ground Vehicle Mining Request: Large Scale
19.74,Shubin_Industrial_ShipMining_Nyx_E_Local_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4864,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of refined materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.74,Shubin_Industrial_ShipMining_Pyro_E_Local_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4864,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of refined materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.74,Shubin_Industrial_ShipMining_Stanton_E_Local_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4864,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of refined materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.53,Shubin_Industrial_GroundVehicle_Pyro_H_Solar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4917,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, since this is a purchase order and not a mining contract, you are expected to provide your own equipment, such as a <EM4>~mission(Hint_Tool)</EM4>. | ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Vehicle Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstella"
19.5,Shubin_Industrial_HandMining_Pyro_H_PlanetarySystem_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4925,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, since this is a purchase order and not a mining contract, you are expected to provide your own equipment, such as a <EM4>~mission(Hint_Tool)</EM4>. | ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.5,Shubin_Industrial_HandMining_Pyro_VH_Interstellar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4925,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, since this is a purchase order and not a mining contract, you are expected to provide your own equipment, such as a <EM4>~mission(Hint_Tool)</EM4>. | ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.5,Shubin_Industrial_HandMining_Stanton_H_PlanetarySystem_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4925,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, since this is a purchase order and not a mining contract, you are expected to provide your own equipment, such as a <EM4>~mission(Hint_Tool)</EM4>. | ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.5,Shubin_Industrial_HandMining_Stanton_H_Planetary_Solar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4925,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, since this is a purchase order and not a mining contract, you are expected to provide your own equipment, such as a <EM4>~mission(Hint_Tool)</EM4>. | ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.5,Shubin_Industrial_HandMining_Stanton_H_Solar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4925,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, since this is a purchase order and not a mining contract, you are expected to provide your own equipment, such as a <EM4>~mission(Hint_Tool)</EM4>. | ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
19.36,Shubin_Industrial_GroundVehicle_Pyro_E_DiscoverPlanetary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.496,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be a wise ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Vehicle Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstella"
19.36,Shubin_Industrial_GroundVehicle_Stanton_M_PlanetarySystem_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.496,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be a wise ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Vehicle Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstella"
19.29,Shubin_Industrial_GroundVehicle_Stanton_E_DiscoverPlanetary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.4978,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be a wise ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Vehicle Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstella"
19.28,Shubin_Industrial_HandMining_Nyx_E_Interstellar_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.498,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be a wise ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of ore, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | For a comprehensive list of where to find these minerals, consult <EM4>Mining Fundamentals #2: Where to Mine</EM4> in your mobiGlas Journal. |  | All Shubin Interstellar c"
